ticker,sticker,current
WTW,-2.9779943567947753,nan
TJX,37.893197048372265,62.76
KRO,7.107840846543087,15.48
EMGL,-93.44424516107874,nan
GME,1.9613949290498913,138.29000000000002
UFI,0.4660469585658774,26.240000000000002
ASTC,0.1439811409059792,1.755
FF,40.26887816900337,15.155000000000001
NVTA,-22126.486075116645,34.45
FOSL,1.630137324176671,15.935
ICUI,268.73686517050845,225.85
EMR,-3.5195987304295318,91.515
MDXG,42.16521022469447,10.575
CFI,2.2098911616989585,nan
HEAR,196.91079893142754,23.990000000000002
TOWR,60.60931817949533,nan
CSX,-0.48004491527565124,91.465
SPAN,3.4573037046708075,nan
LH,202.30960607638082,233.845
FEIM,0.46188636392635546,13.025
IIN,-165.39589307870074,21.985
AVP,-0.00023417838800197463,nan
SONO,-15.699101617585342,38.07
AMD,2610.2012829383143,78.89
COST,87.46804218035061,318.045
LB,373.0764793603392,56.165
GIS,21.28269943268771,56.945
GDOT,12.718386190140887,46.595
SWKS,37.76538871813884,172.82999999999998
SCND,1.8568059202822862,0.0
AMKR,9.81016604919048,21.215
ABCD,-0.04169416896396419,nan
NBIX,65.88892232617998,93.23
ENR,17288008023826.621,44.505
OMED,0.1375276096348869,nan
DMDW,1.0386694278821426e-15,nan
FRD,5.494817288786991,8.545
HOFT,16.450991613309327,37.685
NTGR,-1.2313484907585526,36.57
IEHC,173.16570707780585,0.0
ACHC,23.119233611399807,55.0
VLO,-2.482885603447562,79.255
AIMC,2268.2203996237563,63.68
NEU,852.34785296938,386.89
HUBS,-47174.01381308376,459.255
WY,-0.0395676852402274,33.825
GNRC,624.5225118398248,311.85
TESO,4.388361921678055,nan
TR,0.9903577569564174,32.66
CLAR,0.8130003182515629,18.02
EQT,-15.607894231585789,18.175
TYL,526.9963940157976,402.8
NURO,2.0007672381389394,3.0149999999999997
JCOM,158.8800182622958,113.88499999999999
EBF,1.3991558625662055,20.505000000000003
FBHS,10.879048444956885,84.89500000000001
PBI,3193.4929111726747,8.48
LL,-0.503620661262749,23.560000000000002
ULBI,4.558510733343249,6.9
WING,422.88240339165435,115.77000000000001
CRWD,-8059386132752.853,183.635
ABAX,14.814455275319592,nan
ELAN,1.1721462092180235,31.275
HMHC,1.817104544891136,6.23
LKSD,0.07190715212061702,nan
WMAR,0.5396534848853044,nan
DY,34.09020445320796,79.05
EBS,32.400464935712435,90.74000000000001
XHR,0.11788572633655939,18.575
ADNT,5.8317745746043155,37.665
FCX,-0.6849486257484847,35.04
MPC,176.65443710036564,57.46
CLBS,1.3390182477585908,1.8
BVSN,0.0015513188421645517,nan
LIVN,5.438371771787362,82.425
VIVE,nan,2.9
GGP_old,nan,nan
HSII,25.189786197496833,35.84
FIZZ,40.40873618573026,53.875
PRAH,42.43849647836691,149.73000000000002
TMED,0.05474336866759795,nan
OLED,90.45413239888474,189.29000000000002
SAVA,-0.40128023973880367,43.925
CUZ,334.1579847849043,34.75
STLR,0.00039675444766902807,nan
VSLR,1.0878717887349711,nan
BRX,-0.84153868775369,20.03
RL,-7.757304404149397,122.095
SNDK,-3.1032043059258703,nan
ES_old,0.9176274295600535,nan
CZR,0.47966108724361384,93.85
ALSK,0.22025713360741725,3.33
SWK,144.9903876011558,180.7
UPL,-0.2092234383741002,nan
ALTR,-10.09958628394745,62.3
AXTA,4.990245640714993,28.855
OSIS,13.190893164432874,77.325
DBX,-7.275149606821092,23.525
TLCC,-4752.5078641746295,0.0
OXFD,-6.827088661594011,21.985
EXPD,17.441765713018835,92.245
COP,-2.988813949423753,58.370000000000005
CSLT,-0.4480426576143802,1.71
MAS,-6.392243877017867e-25,54.25
RSYS,0.0019898275691312465,nan
TRUE,-1.7755737470263715,4.975
BCEI,108470.65645545583,39.150000000000006
IPI,-0.9265211117817372,28.369999999999997
PRKA,0.760362813966737,0.0
USM,4.149442849497516,30.54
ENDP,-17283.77944385902,7.075
SRPT,-232.54284891132656,84.905
DOMO,1283.4704676896972,53.894999999999996
QSII,5.856712650892234,nan
LAMR,9.907681762575683,89.55
CCS,478.21059340721007,54.375
AMP,-17.925104767885824,225.575
AKER,-1390.2466230906282,2.63
APD,79.5864610037225,257.005
SOFO,0.7037925210161013,0.0
SGMO,-122.6300388495124,11.364999999999998
OMGB,nan,nan
CCH,nan,nan
JBCT,-2142.879739859866,nan
NPS,-0.004275702525934702,nan
NUE,23.127362773261936,63.2
INFI,0.0013268781901462703,2.6950000000000003
BRRE,0.12084926008542532,0.0
ZUMZ,21.380136763146687,51.605000000000004
GXP,0.030217092010868675,nan
RAD,1.1632866344641124,19.515
USAT,-8.310777503071558,10.015
BCSI,86.3047712807762,nan
FFIV,253.602277868636,185.66500000000002
CBRL,25.336691286826017,162.335
WSO,65.69507741697738,246.82
ESL,2.8149227247593696,nan
ARNA,3097050.945717741,71.465
PX,29.532830674162852,nan
ONEM,4.341571101090232,45.125
STOR,79.5333436228321,32.144999999999996
MON,43.43646921770842,nan
CRWS,0.9164846377029939,7.734999999999999
XEL,15.901164797184851,61.61
BMRA,0.44678462941439945,5.35
TSQ,2.1034951331649174,10.675
BSPM,3.5283404806571332,nan
MXWL,1.522955123674368,nan
COHR,13.231393509283588,237.38
VIRC,1.8245058055061658,3.31
KBR,36.59390322567168,30.99
CST,735.3706702243195,nan
BMS,-1.6862097839655235,nan
ZG,-83.3154628503631,141.72500000000002
BRO,21.622877531673122,45.755
NYT,11.34862550148474,50.365
TYPE,0.3179934934976648,nan
ACET,8.369396402927368,13.705
KND,0.643240890449246,nan
LPG,1.1725588838049044,13.35
